word,tf,df,tfidf
tracking,17844,1834,25995.36735187938
action,16728,1817,24525.34519497924
tracker,8890,499,24522.721339097272
node,15056,1564,24331.482433389596
registration,11197,988,23238.08294480033
dictionary,11545,1071,23029.03510684271
superpixel,8036,479,22495.711936856955
character,9946,906,21503.53180772589
lstm,9271,789,21326.0916639231
subspace,11528,1266,21066.841709730412
temporal,14565,1940,20400.091278917233
saliency,7614,567,20030.211739923023
text,13046,1783,19373.50335305631
trajectory,9388,1002,19351.617306735377
spectral,11233,1414,19285.820790031492
attack,5837,294,19189.06553792332
face-recognition,10857,1352,19127.072016376507
cell,12133,1648,18972.975453011
facial,8599,869,18949.82537150013
person,13555,1953,18894.931358980088
track,12514,1758,18760.179901133906
mask,12748,1820,18669.135696613594
mri,8320,843,18587.715999675547
gan,8019,792,18415.681990232744
brain,9914,1276,18039.33569843839
landmark,7804,799,17853.261471105216
psnr,7359,733,17469.690061445577
query,8504,1020,17378.005063986882
tensor,8505,1032,17280.573755333393
embedding,11992,1884,17147.540483280605
sensor,12049,1946,16838.913384456988
eye,9896,1456,16700.67970191713
page,10394,1595,16593.380973995623
fingerprint,5158,318,16552.104816599964
bound-box,9884,1479,16525.514026994428
manifold,8866,1228,16472.365976001664
voxel,6884,720,16465.262904754167
pca,9516,1396,16459.836194879386
event,8621,1191,16280.921172897299
lesion,5989,523,16239.089502281658
module,10141,1590,16221.321953414132
retrieval,10758,1748,16189.067456113675
proposal,7834,997,16187.524783146144
adversarial,6267,613,15997.786585021766
vehicle,7598,965,15947.7410855128
template,8236,1150,15842.3595902988
optical-flow,6980,845,15577.48106339691
neuron,8627,1296,15563.363029820013
svm,11014,1935,15454.898033616035
wavelet,8517,1289,15411.046776648145
contour,8872,1391,15377.742197686312
sketch,5354,454,15274.80266865823
tree,10360,1823,15154.904959593496
tumor,5091,414,14994.02065784039
band,6812,874,14972.687873677483
modality,7672,1141,14817.755185810745
slice,6962,970,14576.836258687708
roi,6279,774,14564.112653528891
patient,7213,1061,14455.575464751899
lbp,5585,603,14348.704101597386
saliency-map,4738,383,14323.127745974738
face-image,6392,841,14295.553177828431
generator,6176,794,14167.645044947074
occlusion,8992,1629,14165.509704529359
hash,4664,383,14099.423344707931
outlier,7424,1200,13964.474236345326
discriminator,4862,449,13924.98460691258
vertex,5871,738,13897.382738566723
action-recognition,5757,717,13793.723630448623
signature,5659,688,13792.559601920104
energy,9274,1782,13777.230253924177
point-cloud,4822,470,13590.010135702943
unet,5410,641,13568.48548159978
mesh,4814,477,13496.294262919802
scan,8328,1567,13442.634507419898
sparsity,7336,1278,13336.963936637254
keypoint,5792,812,13156.916634919824
fuzzy,5786,825,13051.387927171403
auc,4921,559,13015.641308604369
pedestrian,4958,581,12922.118108761924
path,8172,1620,12919.000477852249
emotion,4017,317,12903.269475721767
crowd,4396,424,12842.184191466578
rgb,8330,1685,12841.083144227076
encoder,6232,1006,12821.281108867226
branch,6505,1102,12790.036345870089
expression,7997,1595,12766.718072834616
compression,6664,1161,12755.098965675896
skeleton,4362,424,12742.858836027575
iris,3684,248,12737.940943417223
latent,6596,1146,12710.719835453041
denoising,6124,988,12709.656153787373
dnn,4488,468,12667.82495295122
facial-expression,4814,569,12647.278240172122
foreground,6061,979,12634.371460777771
person-reidentification,3717,272,12508.691389344955
doi,5871,939,12483.225254364386
style,5503,815,12480.13992817822
stereo,5470,810,12438.961555128859
ensemble,7379,1467,12397.403742487024
rgbd,4632,544,12377.251464770312
medical-image,7713,1586,12356.974442812163
decomposition,8314,1789,12318.4826233271
theorem,5634,890,12281.252228817262
gaze,3641,270,12279.802191710454
rnn,4911,646,12278.815828536934
activity,6744,1277,12265.977641725765
plane,8020,1706,12263.86889965733
blur,6819,1308,12238.829210889213
density,8680,1923,12233.815016483926
activation,8652,1920,12207.859296541188
distortion,6565,1227,12202.628060749033
conf,7134,1428,12178.004068469481
box,8445,1884,12075.63203646637
road,5339,828,12023.717824127722
flow,8382,1876,12021.215531428737
tissue,5476,882,11986.281595803732
illumination,7622,1655,11886.593992319298
body,7147,1497,11862.941191171158
window,8274,1893,11791.68520496337
alignment,7014,1471,11765.071202968393
skin,4547,594,11750.303378772864
vessel,3537,287,11713.07693365362
deformation,5578,980,11621.845928502356
residual,7233,1587,11583.408772781686
remote-sense,4864,730,11566.70340792407
lowrank,4580,639,11501.126468343859
multimodal,6558,1363,11500.26623813918
superresolution,4578,640,11488.945423168187
imagenet,7817,1823,11434.931666905633
fcn,4274,547,11397.128051589401
iou,4310,568,11330.757346247143
ranking,5681,1073,11321.401847552002
salient-object,3336,265,11313.502276120213
biometric,4727,721,11299.554580940632
entropy,5575,1045,11257.571154407467
ieee-transactions,3713,382,11234.226680256033
synthetic,6527,1408,11233.893194446042
decoder,4923,808,11207.235986778724
disease,5287,951,11174.35669989908
autoencoder,5196,919,11159.871719891786
atom,3477,318,11157.7488265448
semantic-segmentation,6477,1419,11097.431175702146
spatiotemporal,5481,1040,11094.045218796355
convex,6321,1361,11093.939288465619
sift,5642,1102,11093.218303366493
diffusion,4411,644,11042.359391400942
alexnet,4989,867,11005.87599667627
car,6170,1331,10966.444597479152
epoch,7414,1812,10890.283379085628
vis,4712,795,10803.321727054394
conv,4861,859,10768.56608991122
stream,5427,1084,10759.864651287266
proof,5064,941,10756.565450878938
identity,7407,1848,10734.285037631116
correspondence,6613,1555,10725.205529167328
pairwise,5981,1312,10716.513385452996
interaction,7521,1905,10671.021566959256
groundtruth,6600,1565,10661.813816001717
seed,4017,559,10624.63546772277
relu,6948,1721,10563.78535223278
fixation,2978,227,10560.337680484545
datum-set,6648,1612,10542.641156144347
confidence,6261,1463,10536.155039114614
cancer,4213,646,10533.62880994219
particle,3925,547,10466.478147517173
photo,4928,942,10462.45034495942
people,7400,1917,10452.875148079693
lemma,3363,361,10365.403222582538
document,5708,1281,10363.850849056207
nodule,2520,134,10264.53364972857
bit,5026,1030,10221.644374837257
convnet,3757,522,10194.243239641386
translation,7060,1861,10181.91916555426
robot,4523,835,10147.964333884822
sparse-representation,5063,1062,10141.99015357763
synthesis,5134,1093,10136.497470152197
hypothesis,5612,1294,10132.881084123017
precision,6916,1838,10060.249683306616
frequency,7170,1944,10027.707133112925
snr,3350,401,9973.305138275493
multiview,4729,958,9960.31277573985
reconstruct,6840,1837,9953.419938056031
mse,4058,678,9949.891971912693
material,5496,1291,9936.191183178416
head,5677,1375,9905.561299340558
lung,3118,329,9899.680207080226
recover,6747,1818,9888.235631472007
pose-estimation,3901,625,9882.464892872178
datum-point,4635,941,9845.316126545
endmember,2172,86,9810.31614946348
artifact,5590,1364,9798.658455837332
